DATE_TIME;DRBS_PRESS;NEWK_PRESS
2021-03-11 22:32:00;981.706;1014.180
2021-03-11 22:33:00;981.806;1014.180
2021-03-11 22:34:00;981.806;1014.180
2021-03-11 22:35:00;981.906;1014.180
2021-03-11 22:36:00;981.906;1014.180
2021-03-11 22:37:00;981.886;1014.180
2021-03-11 22:38:00;981.886;1014.320
2021-03-11 22:39:00;981.876;1014.320
2021-03-11 22:40:00;981.876;1014.320
2021-03-11 22:41:00;981.886;1014.320
2021-03-11 22:42:00;981.886;1014.320
2021-03-11 22:43:00;981.896;1014.320
2021-03-11 22:44:00;981.896;1014.320
2021-03-11 22:45:00;982.066;1014.180
2021-03-11 22:46:00;982.066;1014.180
2021-03-11 22:47:00;982.096;1014.180
2021-03-11 22:48:00;982.096;1014.180
2021-03-11 22:49:00;982.136;1014.180
2021-03-11 22:50:00;982.136;1014.180
2021-03-11 22:51:00;982.156;1014.180
2021-03-11 22:52:00;982.156;1014.180
2021-03-11 22:53:00;982.236;1014.180
2021-03-11 22:54:00;982.236;1014.320
2021-03-11 22:55:00;982.186;1014.320
2021-03-11 22:56:00;982.186;1014.320
2021-03-11 22:57:00;982.236;1014.320
2021-03-11 22:58:00;982.236;1014.320
2021-03-11 22:59:00;982.206;1014.320
2021-03-11 23:00:00;982.206;1014.320
2021-03-11 23:01:00;   null;1014.320
2021-03-11 23:02:00;982.266;1014.320
2021-03-11 23:03:00;982.276;1014.320
2021-03-11 23:04:00;982.276;1014.320
2021-03-11 23:05:00;982.296;1014.320
2021-03-11 23:06:00;982.296;1014.320
2021-03-11 23:07:00;982.266;1014.320
2021-03-11 23:08:00;982.266;1014.320
2021-03-11 23:09:00;982.296;1014.320
2021-03-11 23:10:00;982.296;1014.320
2021-03-11 23:11:00;982.366;1014.320
2021-03-11 23:12:00;982.366;1014.320
2021-03-11 23:13:00;982.406;1014.320
2021-03-11 23:14:00;982.406;1014.320
2021-03-11 23:15:00;982.436;1014.320
2021-03-11 23:16:00;982.436;1014.320
2021-03-11 23:17:00;982.336;1014.320
2021-03-11 23:18:00;982.336;1014.450
2021-03-11 23:19:00;982.406;1014.450
2021-03-11 23:20:00;982.406;1014.450
2021-03-11 23:21:00;982.416;1014.450
2021-03-11 23:22:00;982.416;1014.450
2021-03-11 23:23:00;982.426;1014.320
2021-03-11 23:24:00;982.426;1014.320
2021-03-11 23:25:00;982.496;1014.320
2021-03-11 23:26:00;982.496;1014.450
2021-03-11 23:27:00;982.456;1014.450
2021-03-11 23:28:00;982.456;1014.450
2021-03-11 23:29:00;982.396;1014.580
2021-03-11 23:30:00;982.396;1014.580
2021-03-11 23:31:00;982.436;1014.580
2021-03-11 23:32:00;982.436;1014.580
2021-03-11 23:33:00;982.376;1014.580
2021-03-11 23:34:00;982.376;1014.580
2021-03-11 23:35:00;982.356;1014.580
2021-03-11 23:36:00;982.356;1014.580
2021-03-11 23:37:00;982.456;1014.580
2021-03-11 23:38:00;982.456;1014.580
2021-03-11 23:39:00;982.406;1014.580
2021-03-11 23:40:00;982.406;1014.580
2021-03-11 23:41:00;982.536;1014.580
2021-03-11 23:42:00;982.536;1014.580
2021-03-11 23:43:00;982.586;1014.580
2021-03-11 23:44:00;982.586;1014.580
2021-03-11 23:45:00;982.616;1014.580
2021-03-11 23:46:00;982.616;1014.580
2021-03-11 23:47:00;982.666;1014.580
2021-03-11 23:48:00;982.666;1014.580
2021-03-11 23:49:00;982.736;1014.720
2021-03-11 23:50:00;982.736;1014.720
2021-03-11 23:51:00;982.756;1014.720
2021-03-11 23:52:00;982.756;1014.720
2021-03-11 23:53:00;982.786;1014.720
2021-03-11 23:54:00;982.786;1014.720
2021-03-11 23:55:00;982.756;1014.720
2021-03-11 23:56:00;982.756;1014.850
2021-03-11 23:57:00;982.776;1014.850
2021-03-11 23:58:00;982.776;1014.850
2021-03-11 23:59:00;982.856;   null
2021-03-12 00:00:00;982.856;1014.850
2021-03-12 00:01:00;982.916;1014.850
2021-03-12 00:02:00;982.896;1014.850
2021-03-12 00:03:00;982.856;1014.850
2021-03-12 00:04:00;982.856;   null
2021-03-12 00:05:00;982.946;   null
2021-03-12 00:06:00;982.946;   null
2021-03-12 00:07:00;983.006;   null
2021-03-12 00:08:00;983.006;   null
2021-03-12 00:09:00;982.876;   null
2021-03-12 00:10:00;982.876;   null
2021-03-12 00:11:00;982.966;   null
2021-03-12 00:12:00;982.966;1014.980
2021-03-12 00:13:00;983.026;1014.980
2021-03-12 00:14:00;983.026;1014.850
2021-03-12 00:15:00;983.086;1014.980
2021-03-12 00:16:00;983.086;1014.850
2021-03-12 00:17:00;983.076;1014.850
2021-03-12 00:18:00;983.076;   null
2021-03-12 00:19:00;983.076;1014.850
2021-03-12 00:20:00;983.076;1014.850
2021-03-12 00:21:00;983.176;1014.850
2021-03-12 00:22:00;983.176;1014.850
2021-03-12 00:23:00;983.146;1014.980
2021-03-12 00:24:00;983.146;1014.980
2021-03-12 00:25:00;983.176;1014.980
2021-03-12 00:26:00;983.176;1014.980
2021-03-12 00:27:00;983.226;1014.980
2021-03-12 00:28:00;983.226;1014.980
2021-03-12 00:29:00;983.306;1014.980
2021-03-12 00:30:00;983.306;1014.850
2021-03-12 00:31:00;983.296;1014.850
2021-03-12 00:32:00;983.296;1014.850
2021-03-12 00:33:00;983.316;1014.850
2021-03-12 00:34:00;983.316;1014.850
2021-03-12 00:35:00;983.296;1014.850
2021-03-12 00:36:00;983.296;1014.850
2021-03-12 00:37:00;983.296;1014.720
2021-03-12 00:38:00;983.296;1014.720
2021-03-12 00:39:00;983.296;1014.720
2021-03-12 00:40:00;983.296;1014.720
2021-03-12 00:41:00;983.376;1014.720
2021-03-12 00:42:00;983.376;1014.720
2021-03-12 00:43:00;983.376;1014.720
2021-03-12 00:44:00;983.376;1014.720
2021-03-12 00:45:00;983.486;1014.580
2021-03-12 00:46:00;983.486;1014.580
2021-03-12 00:47:00;983.436;1014.450
2021-03-12 00:48:00;983.436;1014.450
2021-03-12 00:49:00;983.496;1014.450
2021-03-12 00:50:00;983.496;1014.450
2021-03-12 00:51:00;983.586;1014.450
2021-03-12 00:52:00;983.586;1014.320
2021-03-12 00:53:00;983.586;1014.320
2021-03-12 00:54:00;983.586;1014.320
2021-03-12 00:55:00;983.626;1014.180
2021-03-12 00:56:00;983.626;1014.180
2021-03-12 00:57:00;983.556;1014.180
2021-03-12 00:58:00;983.556;1014.180
2021-03-12 00:59:00;983.656;1014.180
2021-03-12 01:00:00;983.656;1014.180
2021-03-12 01:01:00;983.586;1014.180
2021-03-12 01:02:00;983.586;1014.180
2021-03-12 01:03:00;983.606;1014.180
2021-03-12 01:04:00;983.606;1014.180
2021-03-12 01:05:00;983.596;   null
2021-03-12 01:06:00;983.596;   null
2021-03-12 01:07:00;983.696;   null
2021-03-12 01:08:00;983.696;   null
2021-03-12 01:09:00;983.656;   null
2021-03-12 01:10:00;983.656;   null
2021-03-12 01:11:00;983.636;   null
2021-03-12 01:12:00;983.636;   null
2021-03-12 01:13:00;983.746;   null
2021-03-12 01:14:00;983.746;   null
2021-03-12 01:15:00;983.816;   null
2021-03-12 01:16:00;983.816;   null
2021-03-12 01:17:00;983.796;   null
2021-03-12 01:18:00;983.796;   null
2021-03-12 01:19:00;983.726;   null
2021-03-12 01:20:00;983.726;   null
