DATE_TIME;DRBS;NEWK
2021-03-11 23:23:00;113.567;102.040
2021-03-11 23:24:00;115.817; 98.010
2021-03-11 23:25:00;117.600;100.100
2021-03-11 23:26:00;118.217; 98.060
2021-03-11 23:27:00;117.667; 99.470
2021-03-11 23:28:00;116.767; 99.220
2021-03-11 23:29:00;117.017; 95.680
2021-03-11 23:30:00;114.500; 97.470
2021-03-11 23:31:00;114.917; 98.100
2021-03-11 23:32:00;114.183; 94.970
2021-03-11 23:33:00;117.833; 97.890
2021-03-11 23:34:00;115.200; 98.250
2021-03-11 23:35:00;115.283;100.780
2021-03-11 23:36:00;116.250; 94.390
2021-03-11 23:37:00;118.183;101.540
2021-03-11 23:38:00;113.233; 96.560
2021-03-11 23:39:00;113.050; 99.870
2021-03-11 23:40:00;116.517; 96.380
2021-03-11 23:41:00;113.100;101.210
2021-03-11 23:42:00;113.450; 99.720
2021-03-11 23:43:00;116.417; 99.390
2021-03-11 23:44:00;115.367; 96.890
2021-03-11 23:45:00;116.067; 99.030
2021-03-11 23:46:00;120.350; 99.060
2021-03-11 23:47:00;114.000;101.280
2021-03-11 23:48:00;114.833; 99.430
2021-03-11 23:49:00;114.117;101.360
2021-03-11 23:50:00;115.833; 96.600
2021-03-11 23:51:00;114.583; 98.950
2021-03-11 23:52:00;116.417;100.040
2021-03-11 23:53:00;113.667;100.860
2021-03-11 23:54:00;116.317; 98.210
2021-03-11 23:55:00;112.850;100.920
2021-03-11 23:56:00;114.567;100.240
2021-03-11 23:57:00;115.350; 99.370
2021-03-11 23:58:00;120.850;102.750
2021-03-11 23:59:00;114.733;   null
2021-03-12 00:00:00;113.883; 96.280
2021-03-12 00:01:00;117.617; 99.010
2021-03-12 00:02:00;118.083; 97.380
2021-03-12 00:03:00;116.667;100.810
2021-03-12 00:04:00;115.567;   null
2021-03-12 00:05:00;116.483;   null
2021-03-12 00:06:00;114.667;   null
2021-03-12 00:07:00;116.400;   null
2021-03-12 00:08:00;118.050;   null
2021-03-12 00:09:00;118.117;   null
2021-03-12 00:10:00;115.117;   null
2021-03-12 00:11:00;118.367;   null
2021-03-12 00:12:00;115.717; 97.160
2021-03-12 00:13:00;119.450;100.010
2021-03-12 00:14:00;116.717; 97.660
2021-03-12 00:15:00;118.117; 98.130
2021-03-12 00:16:00;115.300; 99.530
2021-03-12 00:17:00;112.417; 97.300
2021-03-12 00:18:00;114.650;   null
2021-03-12 00:19:00;113.950; 95.920
2021-03-12 00:20:00;113.883; 98.040
2021-03-12 00:21:00;116.667; 95.980
2021-03-12 00:22:00;120.250; 94.470
2021-03-12 00:23:00;116.117; 95.290
2021-03-12 00:24:00;115.833; 99.240
2021-03-12 00:25:00;114.917; 99.770
2021-03-12 00:26:00;118.433; 96.920
2021-03-12 00:27:00;119.733; 98.000
2021-03-12 00:28:00;116.400;101.690
2021-03-12 00:29:00;113.883; 96.510
2021-03-12 00:30:00;119.133;101.420
2021-03-12 00:31:00;117.933; 98.130
2021-03-12 00:32:00;117.350;100.160
2021-03-12 00:33:00;113.250; 95.380
2021-03-12 00:34:00;112.917; 96.420
2021-03-12 00:35:00;113.967; 99.830
2021-03-12 00:36:00;115.783; 97.630
2021-03-12 00:37:00;114.450; 98.940
2021-03-12 00:38:00;116.983;101.690
2021-03-12 00:39:00;113.383; 96.240
2021-03-12 00:40:00;115.017;100.060
2021-03-12 00:41:00;115.633; 99.660
2021-03-12 00:42:00;117.817; 96.010
2021-03-12 00:43:00;110.450; 97.620
2021-03-12 00:44:00;117.067; 97.750
2021-03-12 00:45:00;114.417;100.460
2021-03-12 00:46:00;119.517;102.810
2021-03-12 00:47:00;114.450; 97.190
2021-03-12 00:48:00;112.500; 96.770
2021-03-12 00:49:00;113.767; 97.380
2021-03-12 00:50:00;114.350;102.130
2021-03-12 00:51:00;113.967; 95.650
2021-03-12 00:52:00;117.533; 98.060
2021-03-12 00:53:00;116.417; 96.120
2021-03-12 00:54:00;117.633; 99.470
2021-03-12 00:55:00;114.000;101.540
2021-03-12 00:56:00;116.417; 97.040
2021-03-12 00:57:00;112.867; 98.000
2021-03-12 00:58:00;118.450; 99.480
2021-03-12 00:59:00;115.767; 99.560
2021-03-12 01:00:00;117.250; 95.060
2021-03-12 01:01:00;111.583; 97.920
2021-03-12 01:02:00;113.283; 99.510
2021-03-12 01:03:00;108.767; 98.900
2021-03-12 01:04:00;116.317; 97.540
2021-03-12 01:05:00;117.017;   null
2021-03-12 01:06:00;118.233;   null
2021-03-12 01:07:00;116.900;   null
2021-03-12 01:08:00;115.667;   null
2021-03-12 01:09:00;121.100;   null
2021-03-12 01:10:00;109.867;   null
2021-03-12 01:11:00;112.167;   null
2021-03-12 01:12:00;113.833;   null
2021-03-12 01:13:00;113.883;   null
2021-03-12 01:14:00;114.417;   null
2021-03-12 01:15:00;118.183;   null
2021-03-12 01:16:00;112.767;   null
2021-03-12 01:17:00;113.967;   null
2021-03-12 01:18:00;111.833;   null
